Time,LogDose,CFU,LogCFU,Rate,LogRate
0.002777778,8.579783597,17.91044776,1.253106443,1.57895E-07,-6.801632346
0.002777778,8.579783597,32.8358209,1.516347878,2.89474E-07,-6.538390911
0.002777778,8.579783597,56.71641791,1.753708794,0.0000005,-6.301029996
1.5,8.579783597,2456.716418,3.390355028,2.16579E-05,-4.664383761
1.5,8.579783597,3074.626866,3.487792418,2.71053E-05,-4.566946372
1.5,8.579783597,9611.940299,3.982811065,8.47368E-05,-4.071927725
3,8.579783597,2119.402985,3.326213542,1.86842E-05,-4.728525248
3,8.579783597,10597.01493,4.025183546,9.34211E-05,-4.029555244
3,8.579783597,8358.208955,3.922113224,7.36842E-05,-4.132625565
4.5,8.579783597,1522.38806,3.182525369,1.34211E-05,-4.872213421
4.5,8.579783597,17462.68657,4.242111059,0.000153947,-3.812627731
4.5,8.579783597,14925.37313,4.173925197,0.000131579,-3.880813592
6,8.579783597,10746.26866,4.031257694,9.47368E-05,-4.023481096
6,8.579783597,9253.731343,3.966316887,8.15789E-05,-4.088421903
6,8.579783597,10447.76119,4.019023237,9.21053E-05,-4.035715552
7.5,8.579783597,7761.19403,3.889928541,6.84211E-05,-4.164810249
7.5,8.579783597,11641.79104,4.0660198,0.000102632,-3.98871899
7.5,8.579783597,8805.970149,3.944777209,7.76316E-05,-4.109961581
9,8.579783597,13134.32836,4.118407869,0.000115789,-3.93633092
9,8.579783597,11492.53731,4.060415922,0.000101316,-3.994322867
9,8.579783597,15522.38806,4.190958537,0.000136842,-3.863780253
10.5,8.579783597,23283.58209,4.367049796,0.000205263,-3.687688994
10.5,8.579783597,17910.44776,4.253106443,0.000157895,-3.801632346
10.5,8.579783597,15970.14925,4.203308975,0.000140789,-3.851429815
12,8.579783597,29701.49254,4.472778274,0.000261842,-3.581960516
12,8.579783597,16268.65672,4.211351695,0.000143421,-3.843387094
12,8.579783597,13283.58209,4.123315204,0.000117105,-3.931423586
0.002777778,7.453827776,0,,0,
0.002777778,7.453827776,8.955223881,0.952076448,1.0551E-06,-5.976706522
0.002777778,7.453827776,0,,0,
1.5,7.453827776,558.2089552,2.746796799,6.57679E-05,-4.18198617
1.5,7.453827776,1534.328358,3.185918312,0.000180774,-3.742864657
1.5,7.453827776,1438.80597,3.158002231,0.000169519,-3.770780738
3,7.453827776,2050.746269,3.31191193,0.000241618,-3.616871039
3,7.453827776,3856.716418,3.586217707,0.000454396,-3.342565263
3,7.453827776,5552.238806,3.744468137,0.000654162,-3.184314832
4.5,7.453827776,3426.865672,3.534897081,0.000403751,-3.393885888
4.5,7.453827776,11486.56716,4.060190256,0.001353341,-2.868592713
4.5,7.453827776,8740.298507,3.941526265,0.001029777,-2.987256704
6,7.453827776,2913.432836,3.464405011,0.000343259,-3.464377959
6,7.453827776,8429.850746,3.925819885,0.0009932,-3.002963084
6,7.453827776,13564.1791,4.132393516,0.001598124,-2.796389454
7.5,7.453827776,22328.35821,4.348856791,0.002630715,-2.579926179
7.5,7.453827776,13373.13433,4.126233207,0.001575615,-2.802549762
7.5,7.453827776,15928.35821,4.202171014,0.001876671,-2.726611956
9,7.453827776,7611.940299,3.881495373,0.000896835,-3.047287596
9,7.453827776,26865.67164,4.429197702,0.003165299,-2.499585267
9,7.453827776,29253.73134,4.466181269,0.003446659,-2.462601701
10.5,7.453827776,46865.67164,4.670854845,0.005521688,-2.257928124
10.5,7.453827776,35373.13433,4.548673543,0.004167644,-2.380109426
10.5,7.453827776,32089.55224,4.506363657,0.003780774,-2.422419312
12,7.453827776,56716.41791,4.753708794,0.006682298,-2.175074175
12,7.453827776,34776.1194,4.541281118,0.004097304,-2.387501851
12,7.453827776,59402.98507,4.773808269,0.006998828,-2.1549747
0.002777778,6.550228353,0,,0,
0.002777778,6.550228353,2.985074627,0.474955193,2.8169E-06,-5.550228353
0.002777778,6.550228353,0,,0,
1.5,6.550228353,214.9253731,2.332287689,0.000202817,-3.692895857
1.5,6.550228353,340.2985075,2.531860044,0.000321127,-3.493323502
1.5,6.550228353,304.4776119,2.483555365,0.000287324,-3.541628181
3,6.550228353,238.8059701,2.37804518,0.000225352,-3.647138366
3,6.550228353,910.4477612,2.959255032,0.000859155,-3.065928514
3,6.550228353,871.641791,2.940338044,0.000822535,-3.084845502
4.5,6.550228353,656.7164179,2.817377874,0.000619718,-3.207805672
4.5,6.550228353,1940.298507,3.28786855,0.001830986,-2.737314996
4.5,6.550228353,1791.044776,3.253106443,0.001690141,-2.772077103
6,6.550228353,3089.552239,3.489895543,0.002915493,-2.535288003
6,6.550228353,2597.014925,3.414474446,0.002450704,-2.6107091
6,6.550228353,3731.343284,3.571865206,0.003521127,-2.45331834
7.5,6.550228353,2955.223881,3.470590388,0.002788732,-2.554593158
7.5,6.550228353,2970.149254,3.472778274,0.002802817,-2.552405272
7.5,6.550228353,2701.492537,3.431603772,0.002549296,-2.593579774
9,6.550228353,6417.910448,3.807393653,0.006056338,-2.217789893
9,6.550228353,5820.895522,3.764989804,0.005492958,-2.260193742
9,6.550228353,7164.179104,3.855166435,0.006760563,-2.170017111
10.5,6.550228353,16268.65672,4.211351695,0.015352113,-1.813831851
10.5,6.550228353,7761.19403,3.889928541,0.007323944,-2.135255005
10.5,6.550228353,13432.83582,4.128167707,0.012676056,-1.897015839
12,6.550228353,8656.716418,3.937353191,0.008169014,-2.087830355
12,6.550228353,9701.492537,3.986838554,0.00915493,-2.038344992
12,6.550228353,21343.28358,4.329261235,0.020140845,-1.695922311
0.002777778,5.36486355,0,,0,
0.002777778,5.36486355,0,,0,
0.002777778,5.36486355,0,,0,
1.5,5.36486355,5.970149254,0.775985189,8.63309E-05,-4.063833554
1.5,5.36486355,0,,0,
1.5,5.36486355,11.94029851,1.077015184,0.000172662,-3.762803559
3,5.36486355,20.89552239,1.320053233,0.000302158,-3.51976551
3,5.36486355,26.86567164,1.429197702,0.000388489,-3.41062104
3,5.36486355,26.86567164,1.429197702,0.000388489,-3.41062104
4.5,5.36486355,26.86567164,1.429197702,0.000388489,-3.41062104
4.5,5.36486355,38.80597015,1.588898545,0.000561151,-3.250920198
4.5,5.36486355,20.89552239,1.320053233,0.000302158,-3.51976551
6,5.36486355,35.82089552,1.554136439,0.000517986,-3.285682304
6,5.36486355,77.6119403,1.889928541,0.001122302,-2.949890202
6,5.36486355,32.8358209,1.516347878,0.00047482,-3.323470865
7.5,5.36486355,2.985074627,0.474955193,4.31655E-05,-4.36486355
7.5,5.36486355,20.89552239,1.320053233,0.000302158,-3.51976551
7.5,5.36486355,35.82089552,1.554136439,0.000517986,-3.285682304
