Time,LogDose,CFU,LogCFU,Rate,LogRate
1.5,5.707570176,340.2985075,2.531860044,0.002235294,-2.650665325
1.5,5.707570176,358.2089552,2.554136439,0.002352941,-2.62838893
3,5.707570176,740.2985075,2.869406874,0.004862745,-2.313118495
3,5.707570176,656.7164179,2.817377874,0.004313725,-2.365147495
3,5.707570176,1456.716418,3.163375015,0.009568627,-2.019150354
4.5,5.707570176,1373.134328,3.137713025,0.009019608,-2.044812344
4.5,5.707570176,1385.074627,3.141473174,0.009098039,-2.041052196
4.5,5.707570176,967.1641791,2.985500203,0.006352941,-2.197025166
6,5.707570176,1038.80597,3.016534437,0.006823529,-2.165990932
6,5.707570176,2913.432836,3.464405011,0.019137255,-1.718120358
6,5.707570176,2602.985075,3.415471678,0.017098039,-1.767053691
7.5,5.707570176,1934.328358,3.286530199,0.012705882,-1.89599517
7.5,5.707570176,2220.895522,3.346528129,0.014588235,-1.835997241
7.5,5.707570176,1695.522388,3.229303529,0.011137255,-1.95322184
9,5.707570176,3152.238806,3.498619111,0.020705882,-1.683906258
9,5.707570176,3414.925373,3.533381217,0.022431373,-1.649144152
9,5.707570176,3391.044776,3.530333524,0.02227451,-1.652191845
10.5,5.707570176,3319.402985,3.52105998,0.021803922,-1.661465389
10.5,5.707570176,2913.432836,3.464405011,0.019137255,-1.718120358
10.5,5.707570176,3032.835821,3.481848901,0.019921569,-1.700676468
12,5.707570176,2913.432836,3.464405011,0.019137255,-1.718120358
12,5.707570176,2674.626866,3.427263203,0.017568627,-1.755262166
12,5.707570176,2865.671642,3.457226426,0.018823529,-1.725298943
0.002777778,4.500602351,0,,0,
0.002777778,4.500602351,0,,0,
0.002777778,4.500602351,0,,0,
1.5,4.500602351,17.91044776,1.253106443,0.001894737,-2.7224511
1.5,4.500602351,32.8358209,1.516347878,0.003473684,-2.459209665
1.5,4.500602351,29.85074627,1.474955193,0.003157895,-2.500602351
3,4.500602351,59.70149254,1.775985189,0.006315789,-2.199572355
3,4.500602351,86.56716418,1.937353191,0.009157895,-2.038204353
3,4.500602351,101.4925373,2.00643411,0.010736842,-1.969123434
4.5,4.500602351,119.4029851,2.077015184,0.012631579,-1.898542359
4.5,4.500602351,95.52238806,1.980105171,0.010105263,-1.995452372
4.5,4.500602351,122.3880597,2.08773905,0.012947368,-1.887818494
6,4.500602351,107.4626866,2.031257694,0.011368421,-1.94429985
6,4.500602351,170.1492537,2.230830049,0.018,-1.744727495
6,4.500602351,101.4925373,2.00643411,0.010736842,-1.969123434
7.5,4.500602351,182.0895522,2.260285028,0.019263158,-1.715272516
7.5,4.500602351,205.9701493,2.313804284,0.021789474,-1.66175326
7.5,4.500602351,134.3283582,2.128167707,0.014210526,-1.847389837
9,4.500602351,200,2.301029996,0.021157895,-1.674527548
9,4.500602351,167.1641791,2.22314322,0.017684211,-1.752414324
9,4.500602351,161.1940299,2.207348953,0.017052632,-1.768208591
10.5,4.500602351,164.1791045,2.215317882,0.017368421,-1.760239661
10.5,4.500602351,211.9402985,2.326213542,0.022421053,-1.649344002
10.5,4.500602351,164.1791045,2.215317882,0.017368421,-1.760239661
12,4.500602351,182.0895522,2.260285028,0.019263158,-1.715272516
12,4.500602351,107.4626866,2.031257694,0.011368421,-1.94429985
12,4.500602351,152.238806,2.182525369,0.016105263,-1.793032174
0.002777778,3.447158031,0,,0,
0.002777778,3.447158031,0,,0,
0.002777778,3.447158031,0,,0,
