Time,LogDose,CFU,LogCFU,Rate,LogRate
10.5,5.667452953,3486.567164,3.542398036,0.02511828,-1.60001011
10.5,5.667452953,2614.925373,3.417459299,0.01883871,-1.724948847
12,5.667452953,2364.179104,3.373680375,0.017032258,-1.768727771
12,5.667452953,1841.791045,3.265240357,0.013268817,-1.877167789
12,5.667452953,2432.835821,3.386112802,0.017526882,-1.756295344
0.002777778,4.717393087,0,,0,
0.002777778,4.717393087,0,,0,
0.002777778,4.717393087,0,,0,
1.5,4.717393087,0,,0,
1.5,4.717393087,0,,0,
1.5,4.717393087,2.985074627,0.474955193,0.000191693,-3.717393087
3,4.717393087,0,,0,
3,4.717393087,11.94029851,1.077015184,0.000766773,-3.115333096
3,4.717393087,2.985074627,0.474955193,0.000191693,-3.717393087
4.5,4.717393087,5.970149254,0.775985189,0.000383387,-3.416363091
4.5,4.717393087,0,,0,
4.5,4.717393087,8.955223881,0.952076448,0.00057508,-3.240271832
6,4.717393087,14.92537313,1.173925197,0.000958466,-3.018423083
6,4.717393087,8.955223881,0.952076448,0.00057508,-3.240271832
6,4.717393087,5.970149254,0.775985189,0.000383387,-3.416363091
7.5,4.717393087,2.985074627,0.474955193,0.000191693,-3.717393087
7.5,4.717393087,0,,0,
7.5,4.717393087,0,,0,
9,4.717393087,8.955223881,0.952076448,0.00057508,-3.240271832
9,4.717393087,5.970149254,0.775985189,0.000383387,-3.416363091
9,4.717393087,11.94029851,1.077015184,0.000766773,-3.115333096
10.5,4.717393087,47.76119403,1.679075176,0.003067093,-2.513273105
10.5,4.717393087,122.3880597,2.08773905,0.007859425,-2.10460923
10.5,4.717393087,23.88059701,1.37804518,0.001533546,-2.8143031
12,4.717393087,23.88059701,1.37804518,0.001533546,-2.8143031
12,4.717393087,59.70149254,1.775985189,0.003833866,-2.416363091
12,4.717393087,11.94029851,1.077015184,0.000766773,-3.115333096
0.002777778,3.698970004,0,,0,
0.002777778,3.698970004,0,,0,
0.002777778,3.698970004,0,,0,
1.5,3.698970004,0,,0,
1.5,3.698970004,0,,0,
1.5,3.698970004,0,,0,
3,3.698970004,2.985074627,0.474955193,0.002,-2.698970004
3,3.698970004,4.47761194,0.651046452,0.003,-2.522878745
3,3.698970004,0,,0,
4.5,3.698970004,8.955223881,0.952076448,0.006,-2.22184875
4.5,3.698970004,8.955223881,0.952076448,0.006,-2.22184875
4.5,3.698970004,14.92537313,1.173925197,0.01,-2
6,3.698970004,43.28358209,1.636323195,0.029,-1.537602002
6,3.698970004,26.86567164,1.429197702,0.018,-1.744727495
6,3.698970004,46.26865672,1.665286891,0.031,-1.508638306
7.5,3.698970004,16.41791045,1.215317882,0.011,-1.958607315
7.5,3.698970004,40.29850746,1.605288961,0.027,-1.568636236
7.5,3.698970004,34.32835821,1.535653033,0.023,-1.638272164
9,3.698970004,22.3880597,1.350016456,0.015,-1.823908741
9,3.698970004,32.8358209,1.516347878,0.022,-1.657577319
9,3.698970004,35.82089552,1.554136439,0.024,-1.619788758
10.5,3.698970004,41.79104478,1.621083229,0.028,-1.552841969
10.5,3.698970004,92.53731343,1.966316887,0.062,-1.207608311
10.5,3.698970004,29.85074627,1.474955193,0.02,-1.698970004
12,3.698970004,170.1492537,2.230830049,0.114,-0.943095149
12,3.698970004,100,2,0.067,-1.173925197
12,3.698970004,95.52238806,1.980105171,0.064,-1.193820026
