Time,LogDose,CFU,LogCFU,Rate,LogRate
0.002777778,8.635148514,23.88059701,1.37804518,1.85328E-07,-6.732058527
0.002777778,8.635148514,0,,0,
0.002777778,8.635148514,11.94029851,1.077015184,9.26641E-08,-7.033088522
1.5,8.635148514,23432.83582,4.36982485,0.000181853,-3.740278857
1.5,8.635148514,82537.31343,4.916650329,0.000640541,-3.193453378
1.5,8.635148514,37462.68657,4.573598919,0.000290734,-3.536504788
3,8.635148514,53432.83582,4.727808224,0.000414672,-3.382295483
3,8.635148514,148059.7015,5.170436869,0.001149035,-2.939666837
3,8.635148514,100746.2687,5.00322897,0.000781853,-3.106874737
4.5,8.635148514,61940.29851,4.791973294,0.000480695,-3.318130413
4.5,8.635148514,95820.89552,4.981460225,0.000743629,-3.128643481
4.5,8.635148514,131641.791,5.119393782,0.001021622,-2.990709924
6,8.635148514,84179.10448,4.925204301,0.000653282,-3.184899405
6,8.635148514,82835.8209,4.91821818,0.000642857,-3.191885526
6,8.635148514,107164.1791,5.030049642,0.00083166,-3.080054065
7.5,8.635148514,54925.37313,4.739773016,0.000426255,-3.370330691
7.5,8.635148514,80447.76119,4.905513962,0.000624324,-3.204589744
7.5,8.635148514,71343.28358,4.853353094,0.000553668,-3.256750613
9,8.635148514,52238.80597,4.717993242,0.000405405,-3.392110465
9,8.635148514,62537.31343,4.79613922,0.000485328,-3.313964486
9,8.635148514,82537.31343,4.916650329,0.000640541,-3.193453378
10.5,8.635148514,65074.62687,4.813411687,0.000505019,-3.29669202
10.5,8.635148514,80597.01493,4.906318957,0.000625483,-3.20378475
10.5,8.635148514,81044.77612,4.908725027,0.000628958,-3.20137868
12,8.635148514,66865.67164,4.825203211,0.000518919,-3.284900495
12,8.635148514,74776.1194,4.873762923,0.000580309,-3.236340783
12,8.635148514,39701.49254,4.598806834,0.000308108,-3.511296873
0.002777778,7.69019608,0,,0,
0.002777778,7.69019608,0,,0,
0.002777778,7.69019608,0,,0,
1.5,7.69019608,17313.43284,4.238383187,0.001183673,-2.926768086
1.5,7.69019608,19104.47761,4.281135167,0.001306122,-2.884016106
1.5,7.69019608,23134.32836,4.364256895,0.001581633,-2.800894378
3,7.69019608,25522.38806,4.406921308,0.001744898,-2.758229965
3,7.69019608,21791.04478,4.338278053,0.001489796,-2.82687322
3,7.69019608,21492.53731,4.332287689,0.001469388,-2.832863584
4.5,7.69019608,32089.55224,4.506363657,0.002193878,-2.658787616
4.5,7.69019608,36865.67164,4.566622151,0.002520408,-2.598529122
4.5,7.69019608,36417.91045,4.561315024,0.002489796,-2.603836249
6,7.69019608,40746.26866,4.610087844,0.002785714,-2.555063429
6,7.69019608,42985.07463,4.633317685,0.002938776,-2.531833588
6,7.69019608,47313.43284,4.67498446,0.003234694,-2.490166813
7.5,7.69019608,51194.02985,4.709219317,0.0035,-2.455931956
7.5,7.69019608,54626.86567,4.737406283,0.003734694,-2.42774499
7.5,7.69019608,59701.49254,4.775985189,0.004081633,-2.389166084
9,7.69019608,66567.16418,4.823260056,0.00455102,-2.341891217
9,7.69019608,66268.65672,4.821308167,0.004530612,-2.343843106
9,7.69019608,75223.8806,4.876355734,0.005142857,-2.288795539
10.5,7.69019608,79402.98507,4.89983683,0.005428571,-2.265314443
10.5,7.69019608,72388.0597,4.859666936,0.00494898,-2.305484337
10.5,7.69019608,83283.58209,4.920559396,0.005693878,-2.244591877
12,7.69019608,58955.22388,4.770522293,0.004030612,-2.39462898
12,7.69019608,77611.9403,4.889928541,0.005306122,-2.275222732
12,7.69019608,112388.0597,5.050720173,0.007683673,-2.114431099
0.002777778,6.718778398,0,,0,
0.002777778,6.718778398,0,,0,
0.002777778,6.718778398,0,,0,
1.5,6.718778398,647.761194,2.811414927,0.00041465,-3.382318664
1.5,6.718778398,1161.19403,3.064904794,0.000743312,-3.128828796
1.5,6.718778398,1140.298507,3.057018556,0.000729936,-3.136715035
3,6.718778398,2585.074627,3.412473085,0.001654777,-2.781260506
3,6.718778398,4746.268657,3.676352317,0.003038217,-2.517381273
3,6.718778398,4701.492537,3.672235751,0.003009554,-2.52149784
4.5,6.718778398,3164.179104,3.500261058,0.002025478,-2.693472532
4.5,6.718778398,13104.47761,4.117419713,0.008388535,-2.076313877
4.5,6.718778398,8044.776119,3.905513962,0.005149682,-2.288219628
6,6.718778398,25223.8806,4.401811902,0.016146497,-1.791921689
6,6.718778398,17164.1791,4.234623038,0.010987261,-1.959110553
6,6.718778398,22835.8209,4.358616628,0.014617834,-1.835116963
7.5,6.718778398,21343.28358,4.329261235,0.01366242,-1.864472356
7.5,6.718778398,31044.77612,4.491988532,0.019872611,-1.701745058
7.5,6.718778398,33880.59701,4.529951054,0.021687898,-1.663782536
9,6.718778398,18208.95522,4.260285028,0.011656051,-1.933448563
9,6.718778398,32089.55224,4.506363657,0.020541401,-1.687369933
9,6.718778398,23880.59701,4.37804518,0.015286624,-1.815688411
10.5,6.718778398,24925.37313,4.396641668,0.015955414,-1.797091922
10.5,6.718778398,33731.34328,4.528033636,0.021592357,-1.665699954
10.5,6.718778398,18208.95522,4.260285028,0.011656051,-1.933448563
12,6.718778398,39402.98507,4.595529124,0.02522293,-1.598204466
12,6.718778398,45522.38806,4.658225037,0.029140127,-1.535508554
12,6.718778398,54477.61194,4.736218062,0.034872611,-1.457515529
0.002777778,5.667452953,0,,0,
0.002777778,5.667452953,0,,0,
0.002777778,5.667452953,0,,0,
1.5,5.667452953,68.65671642,1.836683029,0.000494624,-3.305725117
1.5,5.667452953,164.1791045,2.215317882,0.001182796,-2.927090263
1.5,5.667452953,98.50746269,1.993469133,0.000709677,-3.148939013
3,5.667452953,555.2238806,2.744468137,0.004,-2.397940009
3,5.667452953,874.6268657,2.941822813,0.006301075,-2.200585333
3,5.667452953,480.5970149,2.681781069,0.003462366,-2.460627077
4.5,5.667452953,450.7462687,2.65393214,0.003247312,-2.488476006
4.5,5.667452953,552.238806,2.742126921,0.003978495,-2.400281224
4.5,5.667452953,447.761194,2.651046452,0.003225806,-2.491361694
6,5.667452953,507.4626866,2.705404114,0.003655914,-2.437004032
6,5.667452953,629.8507463,2.799237648,0.004537634,-2.343170498
6,5.667452953,844.7761194,2.926741628,0.006086022,-2.215666517
7.5,5.667452953,916.4179104,2.962093568,0.006602151,-2.180314577
7.5,5.667452953,1089.552239,3.037248057,0.007849462,-2.105160088
7.5,5.667452953,1032.835821,3.014031292,0.00744086,-2.128376854
9,5.667452953,1002.985075,3.00129447,0.007225806,-2.141113676
9,5.667452953,1358.208955,3.13296659,0.009784946,-2.009441556
9,5.667452953,1862.686567,3.270139783,0.013419355,-1.872268363
10.5,5.667452953,3426.865672,3.534897081,0.024688172,-1.607511065
